sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Volleyball,,Donnerstag,19:00,20:30,Camerloherstr.,110,Eingang 108,Laim,Grundschule an der Camerloherstr. 110 (EH1),,48.1346189745865,11.4940686470807,https://www.muenchen.de/freizeit/freizeitsportprogramm/volleyball-freizeitsport-muenchen
Volleyball,,Dienstag,19:30,21:30,Fernpaßstr.,41,,Sendling,Grund-und Mittelschule an der Fernpaßstr. 41,,48.1209665824741,11.5220169446252,https://www.muenchen.de/freizeit/freizeitsportprogramm/volleyball-freizeitsport-muenchen
Volleyball,,Dienstag,19:00,20:30,Keilberthstr.,6,,Freimann,Grundschule an der Keilberthstr. 6 (EH1),,48.2051990314066,11.6006378717619,https://www.muenchen.de/freizeit/freizeitsportprogramm/volleyball-freizeitsport-muenchen
Volleyball,,Dienstag,20:00,22:00,Lerchenauerstr.,322,,Feldmoching,Grundschule an der Lerchenauerstr.322 (EH1),,48.2142946460067,11.5311786746011,https://www.muenchen.de/freizeit/freizeitsportprogramm/volleyball-freizeitsport-muenchen
Yoga,Yin Yoga,Donnerstag,20:30,21:30,Guldeinstr.,27,unten,Westend,Grundschule an der Guldeinstr. 27 (KSH1 unten),,48.1383291635933,11.5328140483901,https://www.muenchen.de/freizeit/freizeitsportprogramm/yin-yoga-freizeitsport-muenchen
Yoga,,Donnerstag,19:30,20:30,Guldeinstr.,27,unten,Westend,Grundschule an der Guldeinstr. 27 (KSH1 unten),,48.1383291635933,11.5328140483901,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,,Donnerstag,17:00,18:00,Wörthstr.,2,,Haidhausen,"Mittelschule an der Wörthstr. 2, OG",,48.1317328376132,11.5979120044264,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,,Dienstag,19:00,20:30,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,,Montag,18:00,19:00,Damenstiftstr.,3,,Stadtmitte,Städtische Salvator-Realschule (EH1) Damenstiftstraße 3,,48.1370568078445,11.5690812361836,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,,Montag,19:00,20:00,Luisenstr.,7,,Hautpbahnhof,Städtisches Luisengymnasium (EH1)Luisenstr.7,,48.1427246062633,11.5615927987124,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,,Montag,17:00,18:00,Stielerstr.,6,EG,Theresienwiese,"Grundschule an der Stielerstr. 6, EG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga Flow,Montag,18:00,19:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 OG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga Flow mit Meditation,Montag,19:00,20:30,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 OG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga für Anfänger und Generation plus,Dienstag,17:00,18:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga für Anfänger und Generation plus,Donnerstag,18:00,19:00,Stuntzstr.,55,,Bogenhausen,Mittelschule an der Stuntzstr. 55,,48.141236964191,11.622705815434,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga für den Rücken,Dienstag,8:30,9:45,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Yoga,Yoga mit Meditation,Dienstag,19:00,20:30,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/yoga-freizeitsport-muenchen
Zirkuskünste Eltern-Kind-Turnen,Zirkuskünste Eltern-Kind-Turnen 5-6 jährige nur mit Eltern,Montag,15:30,16:15,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,Kosten: 1 FreizeitSport-Ticket pro Elternteil,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/eltern-kind-turnen-staedtisches-freizeitsport-angebot-muenchen
Zirkuskünste Eltern-Kind-Turnen,Zirkuskünste Eltern-Kind-Turnen 7-10 jährige nur mit Eltern,Montag,16:15,17:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,Kosten: 1 FreizeitSport-Ticket pro Elternteil,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/eltern-kind-turnen-staedtisches-freizeitsport-angebot-muenchen
Zumba,,Donnerstag,18:30,19:30,Guldeinstr.,27,unten,Westend,Grundschule an der Guldeinstr. 27 (KSH1 unten),,48.1383291635933,11.5328140483901,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Dienstag,19:00,20:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Dienstag,18:00,19:00,Stielerstr.,6,OG,Theresienwiese,"Grundschule an der Stielerstr. 6, OG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Mittwoch,19:00,20:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Donnerstag,18:00,19:00,Damenstiftstr.,3,,Stadtmitte,Städtische Salvator-Realschule (EH1) Damenstiftstraße 3,,48.1370568078445,11.5690812361836,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Montag,19:00,20:00,Herrnstr.,21,,Stadtmitte,Grundschule an der Herrnstrasse 21 (KSH1),,48.1364816576637,11.5811826538176,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,,Montag,17:00,18:00,Hirschbergstr.,33,KSH2,Neuhausen,"Städtische Berufsschule für Körperpflege Hirschbergstr. 33,",,48.1479112781728,11.5300993440667,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,Zumba Gold,Donnerstag,17:00,18:00,Damenstiftstr.,3,,Stadtmitte,Städtische Salvator-Realschule (EH1) Damenstiftstraße 3,,48.1370568078445,11.5690812361836,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
Zumba,Zumba Gold,Mittwoch,18:00,19:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/zumba-freizeitsport-muenchen
