sportangebot,sportangebot-detail,wochentag,uhrzeit_start,uhrzeit_ende,strasse,hausnummer,hn-zusatz,stadteil,schulnamen,zusatzinfomationen,latitude,longitude,webseite
Eltern-Kind-Turnen,Eltern-Kind-Turnen 0-4 Jahre,Mittwoch,14:30,15:45,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,Kosten: 1 FreizeitSport-Ticket pro Elternteil,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/eltern-kind-turnen-staedtisches-freizeitsport-angebot-muenchen
Eltern-Kind-Turnen,Eltern-Kind-Turnen 3-6 Jahre,Mittwoch,15:45,17:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,Kosten: 1 FreizeitSport-Ticket pro Elternteil,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/eltern-kind-turnen-staedtisches-freizeitsport-angebot-muenchen
Fatburn,,Mittwoch,17:00,18:00,Luisenstr.,29,Halle 3,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 31,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/fatburn-das-staedtische-freizeitsport-angebot-muenchen
Female Moves,,Dienstag,18:00,19:00,Damenstiftstr.,3,,Stadtmitte,Städtische Salvator-Realschule (EH1) Damenstiftstraße 3,,48.1370568078445,11.5690812361836,https://www.muenchen.de/freizeit/freizeitsportprogramm/female-moves-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,Fitness + Balance,Montag,19:00,20:00,Luisenstr.,29,Halle 3,Königsplatz,"Städtische Anita-Augspurg-Berufsoberaschule für Sozialwesen Sportstätte (EH1) Luisenstr. 29, Halle 3",,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Montag,17:00,18:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,18:00,19:00,Droste-Hülshoff-Str.,9,Halle rechts,Laim,Grundschule Droste Hülshoff Straße 9,,48.1279771401509,11.5075067600768,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Donnerstag,19:00,20:30,Antonienstr.,6,,Schwabing,Berufl. Schulzentrum  Alice Bendix,,48.1646837125794,11.5896287591855,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,18:00,19:00,Bäckerstr.,58,,Pasing,Anne-Frank Realschule (EH2),,48.1390086683869,11.4609136868018,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Donnerstag,18:00,19:00,Camerloherstr.,110,Eingang 108,Laim,Grundschule an der Camerloherstr. 110 (EH1),,48.1346189745865,11.4940686470807,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,17:00,18:00,Corneliusstr.,17,EG,Isarvorstadt,Grundschule am Gärtnerplatz /Klenzestr. 27 EG,,48.1313181601876,11.5769218173545,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Mittwoch,18:30,19:30,Feldbergstr.,85,,Trudering,Mittelschule an der Feldbergstr. 85 (KSH 1),,48.1177097702945,11.6679835260961,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Montag,17:00,18:00,Luisenstr.,7,,Hauptbahnhof,Städtisches Luisengymnasium (EH1)Luisenstr.7,,48.1427246062633,11.5615927987124,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,18:00,19:00,Mariahilfplatz,18,Halle 3 / 2. OG,,Staatl. GS Mariahilfplatz,,48.1246735599684,11.5820517686975,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Mittwoch,18:00,19:00,Meindlstr.,8,,Harras,"Staatliche Dieter-Hildebrandt-Wirtschaftsschule, Meindlstraße 8a (EH1)",,48.1187884391627,11.5379845551616,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Mittwoch,19:00,20:00,Simmernstr.,2,,Schwabing,"Mittelschule an der Simmernstr. 2, KSH1, Zugang Birkenfeldstrasse",,48.1673841294298,11.5829229048892,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Donnerstag,18:30,19:30,Wörthstr.,2,,Haidhausen,"Mittelschule an der Wörthstr. 2, OG",,48.1317328376132,11.5979120044264,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Donnerstag,19:00,20:00,Wörthstr.,2,,Haidhausen,"Mittelschule an der Wörthstr. 2, OG",,48.1317328376132,11.5979120044264,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,18:30,19:30,Fernpaßstr.,41,,Sendling,Grund-und Mittelschule an der Fernpaßstr. 41,,48.1209665824741,11.5220169446252,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Dienstag,17:00,18:00,Luisenstr.,7,,Hauptbahnhof,Städtisches Luisengymnasium (EH1)Luisenstr.7,,48.1427246062633,11.5615927987124,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Donnerstag,18:00,19:00,MemelerStr.,53,,Bogenhausen,Memeler Str. 53 Sportanlage (KlSH),,48.1534210212361,11.6380955466952,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,,Mittwoch,19:00,20:00,Stielerstr.,6,EG,Theresienwiese,"Grundschule an der Stielerstr. 6, EG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness Classic,Fitness Classic / Energym,Montag,18:00,19:00,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-classic-das-staedtische-freizeitsport-angebot-muenchen
Fitness für Frauen,Fitness für Frauen mit Faszientraining,Montag,8:30,9:30,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-fuer-frauen-freizeitsport-angebot-muenchen
Fitness Power,,Dienstag,19:00,20:00,Canisiusplatz,2,,Großhadern,Grundschule am Canisiusplatz 2 (EH2),,48.1137719374883,11.4807220191537,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-power-freizeitsport-angebot-muenchen
Fitness Power,,Donnerstag,19:00,20:15,Hiltenspergerstr.,72,Clemensstraße 100 (Bayernplatz),Schwabing,Grundschule an der Hiltenspergerstr. 72/ Am Bayernplatz (EH1),,48.1650735397573,11.5668824817947,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-power-freizeitsport-angebot-muenchen
Fitness Power,,Donnerstag,18:00,19:00,Hirschbergstr.,33,KSH 2 / 1. OG,Neuhausen,"Städtische Berufsschule für Körperpflege Hirschbergstr. 33,",,48.1479112781728,11.5300993440667,https://www.muenchen.de/freizeit/freizeitsportprogramm/fitness-power-freizeitsport-angebot-muenchen
Functional Training,,Dienstag,19:00,20:00,Lerchenauerstr.,322,,Feldmoching,Grundschule an der Lerchenauerstr.322 (EH1),,48.2142946460067,11.5311786746011,https://www.muenchen.de/freizeit/freizeitsportprogramm/functional-training-freizeitsport-angebot-muenchen
Functional Training,,Donnerstag,18:00,19:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/functional-training-freizeitsport-angebot-muenchen
Generation plus,,Montag,9:45,10:45,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/generation-plus-freizeitsport-angebot-muenchen
Generation plus,,Donnerstag,9:45,10:45,Dantestr.,14,,Gern,Städtisches Stadion an der Dantestr. 14,,48.1676723817281,11.5279613083889,https://www.muenchen.de/freizeit/freizeitsportprogramm/generation-plus-freizeitsport-angebot-muenchen
Generation plus,,Dienstag,9:30,10:30,Thalkirchnerstr.,209,,Thalkirchen,Bezirkssportanlage Thalkirchnerstr. 209 (UG2),,48.1063728062163,11.5460941383408,https://www.muenchen.de/freizeit/freizeitsportprogramm/generation-plus-freizeitsport-angebot-muenchen
HIIT - High.intensity interval training,,Dienstag,18:00,19:00,Luisenstr.,7,,Hauptbahnhof,Städtisches Luisengymnasium (EH1)Luisenstr.7,,48.1427246062633,11.5615927987124,https://www.muenchen.de/freizeit/freizeitsportprogramm/hiit-high-intensity-interval-training-freizeitsport-muenchen
HIIT - High.intensity interval training,,Montag,18:00,19:00,Stielerstr.,6,EG,Theresienwiese,"Grundschule an der Stielerstr. 6, EG",,48.1277325855402,11.551609288548,https://www.muenchen.de/freizeit/freizeitsportprogramm/hiit-high-intensity-interval-training-freizeitsport-muenchen
Kickbox-Power,,Montag,19:00,20:00,Luisenstr.,29,Halle 1,Königsplatz,Städtische Berufsschule für Spedition und Touristik (EH1)  Luisenstr. 29,,48.1454129828542,11.562628207656,https://www.muenchen.de/freizeit/freizeitsportprogramm/kickbox-power-freizeitsport-muenchen
